"","text","cluster"
"59","теплоэнергетический комплекс котельная пкк своевременно вноситься запись провести утз план ликвидация авария уровень журнал учёт утз план ликвидация авария уровень журнал учёт газоопасный работа проводить нарядадопуск периодически отсутствовать подпись исполнитель проведение работа","5"
"60","управление организация налив нефтепродукт манометр установить ресивер кипа р отсутствовать красный черта заканчиваться срок поверка","6"
"61","товарносырьевой база тсб допускаться хранение баллон газ пропан кислород монтажный городок бытовой вагон баллон принадлежать профит","6"
"62","управление организация налив нефтепродукт операторный отсутствовать актуальный пмл утвердить руководитель согласовать асф утвердить график утз","6"
"63","комплекс получение битум кокс бирка зкл х приём н соответствовать требование инструкция отсутстть номер линия зкл","6"
"64","товарносырьевой база плановый обход подрядчик применять сизый","6"
"65","товарносырьевой база плановый обход узел комерческий учёт находиться использовать крепёж","6"
"66","комплекс элоуавт пропуск су резерв насос н выкида зкл дозировать установка дозировать устройство х","6"
"67","отдел организация налив нефтепродукт отсутствовать запись журнал учёт тренировка пмл провести утз","6"
"68","товарносырьевой база тсб отсутсвовать направление открытиезакрытие запорный регулировать арматура р","6"
"69","теплоэнергетический комплекс специальный табличка обновить информация дата следующий наружное внутренний осмотр фильтр ф ф указать дата нво ф ф указать дата нво","6"
"70","товарносырьевой база тсб оторвать элемент ограждение площадка обслуживание задвижка тело резервуар","7"
"71","товарносырьевой база тсб оторвать нижний навес входной дверь","7"
"72","управление организация налив нефтепродукт след нефтепродукт закрепить участок тит","7"
"73","товарносырьевой база тсб отвод конденсат дренаж трубопровод острый пара расположить здание насосный тит перекрёсток эстакада осуществляться место проход технологический персонал зимний наблюдаться больший разлив обледенение территория","7"
"74","товарносырьевой база процесс налив водитель автоцистерна нарушить стандартный операционный процедура сопа окончание налив кабель заземление автоцистерна отсоединить рукав налив","7"
"75","товарносырьевой база тсб помещение насосный тит напротив насос н допускаться хранение посторонний предмет ведро тряпка остаток строительный материал крыльцо","7"
"76","товарносырьевой база трубопровод блокбокс приготовление раствор пенообразователь отсутствовать стрелка указывать направление поток вода","7"
"77","управление организация налив нефтепродукт рассыпаться подшипник колесо переходный мостик","7"
"78","комплекс производство сера фундамент стойка лежать доска полиэтиленовый бутылка вода стойка лежать кирпич","7"
"79","комплекс облагораживание моторный топливо требоваться надпись направление штурвал","7"
"80","комплекс облагораживание моторный топливо долить масло бачок насос н","8"
"81","комплекс водоснабжение заканчиваться срок поверка манометр нагнетание нд","8"
"82","комплекс гидроочистка дизельный топливо каталитический риформирование убрать мусор возле тбо","8"
"83","комплекс производство сера использовать резиновый шланг насосный боог","8"
"84","комплекс производство сера рассортировать металл площадка временной хранение","8"
"85","комплекс очистный сооружение шестерня редуктор ходовой тележка отстойник слететь посадочный место","8"
"86","комплекс переработка вторичный сырьё оторвать пластина регулировка добавочный воздух печь дожига","8"
"87","комплекс производство сера помещение компрессорный хватать три огнетушитель","8"
"88","комплекс переработка бензиновый фракция провести влажный уборка венткамера блок северный","8"
"89","комплекс переработка бензиновый фракция подмести возле р","8"
"90","товарносырьевой база производство работа установка заглушка жд эст тит предсавитель подрядный организация амир работать защитный рукавица","9"
"91","товарносырьевой база поверка противогаз возле шкаф хранение ппф остаться старый сумка маска фильтр","9"
"92","товарносырьевой база тсб отсутствовать подставка огнетушитель","9"
"93","товарносырьевой база тсб чехол обогрев уровнемер поза снятой прибор лежать площадка","9"
"94","теплоэнергетический комплекс допускаться хранение посторонний предмет ячейка лишний сумка противогаз сумка рфп перчатка машинист ковальчук собственный поляризация","9"
"95","комплекс атмосферновакуумный переработка нефть лестница третий этаж операторный лежать доска телогрейка","9"
"96","товарносырьевой база помещение слесарный мастерская разбросать заглушка","9"
"97","управление организация налив нефтепродукт посторонний предмет венткамера","9"
"98","товарносырьевой база работа подрядчик использовать промаркеровать инструмент","9"
"99","товарносырьевой база растительность обечайка колодец находиться обечайка","9"
"100","комплекс элоуавт сломать крышка позиционеразамотать изолента","10"
"101","товарносырьевой база размотать пожарный рукав сли вода проведение гидроиспытание р","10"
"102","товарносырьевой база откачать вода убрать ёмкость л","10"
"103","комплекс водоснабжение сопа кво развешать","10"
"104","товарносырьевой база тсб стоить просрочить огнетушитель","10"
"105","товарносырьевой база нт установить пожарный ящик","10"
"106","теплоэнергетический комплекс разбросать ключ шкаф инструмент","10"
"107","товарносырьевой база обвалование р лоток промливневый канализация скопиться мусор","10"
"108","товарносырьевой база обнаружить растительность уторный шов резервуар","10"
"109","управление организация налив нефтепродукт износить верёвка стояк налив стдт","10"
"110","комплекс очистный сооружение отсутствовать показание расход поза","11"
"111","комплекс очистный сооружение отсутствовать табличка номер технологический позиция фильтр","11"
"112","комплекс облагораживание моторный топливо проведение гидравлический испытание снятой манометрический сборка линия вывод вода распределительный камера","11"
"113","комплекс облагораживание моторный топливо накопление отход металлолом неустановленный место грунт нарушение ст федеральный закон фз п санпин почва очистка населить место отход производство потребление санитарный охрана почва гигиенический требование размещение обезвреживание отход производство потребление санитарноэпидемиологический правило норматив п постановление правительство москва пп сто порядок обращение отход производство потребление","11"
"114","теплоэнергетический комплекс ведение первичный технологический документация журнал приемасдача смена нарушение требование нтд помещение операторный дс","11"
"115","управление технический обслуживание ремонт технический устройство сооружение износить верёвка ст налив","11"
"116","комплекс производство сера нарушение манометр видно шкала необходимый замена","11"
"117","управление организация налив нефтепродукт посторонний предмет цех подготовка подвижный состав","11"
"118","комплекс производство сера нарушение манометр видно шкала необходимый замена","11"
"119","комплекс производство сера нарушение манометр видно шкала необходимый замена","11"
"120","александр санников безопасно","12"
"121","безопасно","12"
"122","безопасно","12"
"123","безопасно","12"
"124","безопасно","12"
"125","безопасно","12"
"126","безопасно","12"
"127","безопасно","12"
"128","безопасно","12"
"129","безопасно","12"
"130","товарносырьевой база наличие мусор территория энсна западный сторона операторный","13"
"131","товарносырьевой база посторонний предмет возле внутриустановочный эстакада стойка","13"
"132","товарносырьевой база скопление сухой трава дерево насосный тит тит","13"
"133","товарносырьевой база хранение мтр уп загрушко","13"
"134","управление организация налив нефтепродукт след нефтепродукт поручень эстакада район ст","13"
"135","комплекс элоуавт плохой освещение венткамера","13"
"136","товарносырьевой база наличие трава вблизи пост налив","13"
"137","управление организация налив нефтепродукт посторонний предмет территория","13"
"138","товарносырьевой база тсб посторонии предмет фг шпилька прокладка","13"
"139","товарносырьевой база южный ад северный сторона р растительность район лоток","13"
"140","управление погрузка нефть замазучена штурвал зкл пост налив","14"
"141","управление погрузка нефть замазучена штурвал пост налив","14"
"142","управление погрузка нефть сухой растительность вдоль забор","14"
"143","управление погрузка нефть замазучена меторшток","14"
"144","управление погрузка нефть замазучена полукувалда","14"
"145","управление погрузка нефть замазучена полокувалда","14"
"146","управление погрузка нефть загрязнить раковина пбк","14"
"147","управление погрузка нефть замазучена штурвал зкл пост налив","14"
"148","газпромнефть нордвест наблюдать работа обслуживание судовой носов кормовой швартовный устройство","14"
"149","газпромнефть нордвест производиться замереть груз отбор проба грузовой танк начало бункеровка","14"
